"Install_Dates","campaign_id","Country","installs","spends"
"2020-03-24","19115","TW","18","13.71"
"2020-03-24","159253","AT","17","5.43"
"2020-05-01","159854","IT","31","4.32"
"2020-05-13","794235","ZA","3","0.02"
"2020-03-28","158583","NZ","2","1"
"2020-04-23","790003","RU","1","0.21"
"2020-04-10","92926","KR","20","37.85"
"2020-05-18","794235","HN","13","0.11"
"2020-03-26","19115","US","33","51.78"
"2020-04-09","98067","AF","9","0.6"
"2020-03-18","19115","BE","3","0.32"
"2020-05-09","19115","NZ","1","0.09"
"2020-04-17","786714","BY","445","47.3"
"2020-04-06","90464","CZ","26","13.65"
"2020-04-22","789721","RU","613","100.39"
"2020-04-29","160845","RU","2337","459.29"
"2020-05-17","794235","MD","6","0.06"
"2020-05-05","794235","KG","4","0.02"
"2020-03-29","92708","JP","15","25.21"
"2020-04-12","803393","UA","13","2.1"
"2020-04-10","788583","KR","1","0.28"
"2020-04-30","92551","IE","11","17.08"
"2020-04-01","791401","UA","35","1.48"
"2020-04-30","792410","TR","72","1.84"
"2020-04-10","94502","SK","30","22.51"
"2020-04-20","794235","BD","19","0.08"
"2020-05-08","22083","PL","4","0.34"
"2020-04-22","91872","FR","0","4.66"
"2020-04-13","19115","UA","56","11.22"
"2020-05-13","90619","AT","6","9.42"
"2020-04-25","794235","PK","101","0.58"
"2020-03-27","788894","LV","7","0.42"
"2020-04-29","19115","IE","3","1.1"
"2020-04-01","160483","KR","38","25.96"
"2020-03-19","96175","RO","3","0.03"
"2020-04-04","94157","QA","1","0.71"
"2020-04-08","91425","FI","12","25.14"
"2020-03-30","791300","UA","275","11.69"
"2020-05-15","794235","MN","9","0.09"
"2020-04-12","790709","TW","1","0.4"
"2020-03-30","787847","FR","96","10.23"
"2020-03-19","95659","US","2","1.37"
"2020-04-07","787605","DE","1","0.5"
"2020-04-19","22083","IT","10","2.2"
"2020-04-11","19115","UK","24","30.31"
"2020-04-09","92356","HK","4","3.06"
"2020-05-16","794235","BO","15","0.13"
"2020-05-08","794235","UY","2","0.01"
"2020-04-23","788709","KZ","28","4.39"
"2020-05-13","160483","JP","1","0.7"
"2020-04-20","794235","MM","18","0.09"
"2020-03-25","19115","RO","16","4.5"
"2020-03-29","19115","CZ","28","6.71"
"2020-05-15","794235","CI","4","0.04"
"2020-05-08","90375","CH","8","33.15"
"2020-05-18","794235","ML","2","0.02"
"2020-03-27","96175","GE","3","0.05"
"2020-04-05","89917","AU","5","0.3"
"2020-04-04","787274","DE","106","40.49"
"2020-04-14","787935","GE","15","1.05"
"2020-04-19","792342","AR","0","2.52"
"2020-04-26","790465","RU","5","0.66"
"2020-03-19","93101","KR","15","0.87"
"2020-04-05","791631","US","68","53.26"
"2020-05-09","90619","DE","26","30.67"
"2020-05-17","95040","UA","298","57.01"
"2020-04-21","791179","UA","152","71.11"
"2020-04-07","789587","RO","11","0.33"
"2020-04-24","792410","AR","150","2.13"
"2020-05-11","93027","KR","19","51.86"
"2020-04-06","786955","CA","7","1.26"
"2020-03-19","19115","ES","18","4.12"
"2020-04-01","22083","US","0","0.22"
"2020-04-06","789016","NO","18","4.27"
"2020-03-24","790629","SK","55","3.92"
"2020-03-25","161666","HU","19","1.14"
"2020-03-29","19115","NO","2","2.3"
"2020-05-16","19115","SE","2","5.03"
"2020-03-18","19115","FI","3","3"
"2020-04-15","790778","UA","296","26.96"
"2020-03-18","789081","PH","4","0.28"
"2020-05-13","792410","CG","6","0.1"
"2020-04-06","94692","UA","166","66.3"
"2020-05-07","788298","IT","160","24.32"
"2020-05-18","794235","LB","112","0.93"
"2020-04-28","789909","RU","248","31.44"
"2020-04-19","793773","YE","0","0.02"
"2020-04-14","22083","RU","56","19.35"
"2020-04-30","792410","VN","312","7.99"
"2020-05-03","790678","TW","1","0.14"
"2020-05-15","794235","BG","6","0.05"
"2020-05-04","90039","BE","11","8.05"
"2020-05-07","19115","KR","1","1.07"
"2020-03-23","158583","SE","5","1.5"
"2020-04-08","93546","NL","5","0.88"
"2020-05-08","22083","UNKNOWN","0","20.11"
"2020-04-20","787481","DE","32","14.21"
"2020-04-04","91502","FI","1","0.36"
"2020-04-11","788445","JP","1","3.71"
"2020-05-15","794235","AO","1","0.01"
"2020-05-02","22083","BR","1","0.26"
"2020-04-20","787170","CZ","73","16.22"
"2020-04-01","791927","US","32","46.38"
"2020-04-10","90133","BY","36","0.35"
"2020-04-07","159854","FR","5","1.67"
"2020-04-18","19115","PL","85","20.08"
"2020-04-13","790437","RU","47","8.54"
"2020-04-19","788070","ID","0","2.56"
"2020-04-11","788794","KZ","8","0.2"
"2020-04-14","92368","HK","2","0.51"
"2020-04-23","788931","MD","1","0.08"
"2020-04-21","160483","TW","30","18.18"
"2020-04-07","791763","US","59","43.84"
"2020-05-18","789616","RU","9","1.32"
"2020-05-04","95842","US","25","41.46"
"2020-05-07","19115","IT","4","0.69"
"2020-04-18","786589","BR","256","21.46"
"2020-05-09","19115","DK","6","13.91"
"2020-03-27","161666","KW","2","0.24"
"2020-04-17","19115","HU","5","0.46"
"2020-04-06","159253","DE","7","1.12"
"2020-05-02","93806","PL","91","44.09"
"2020-04-04","787907","UK","10","1.86"
"2020-04-20","794235","LY","17","0.08"
"2020-03-28","96175","UZ","37","0.65"
"2020-05-08","19115","HR","5","0.58"
"2020-04-04","788019","GE","57","1.63"
"2020-05-17","19115","QA","1","0.07"
"2020-04-10","89897","AU","19","34.65"
"2020-04-29","789528","RO","1","0.06"
"2020-03-28","19115","AT","3","1.18"
"2020-04-03","19115","AU","23","20.76"
"2020-04-23","91461","FI","13","12.25"
"2020-04-29","794235","TN","13","0.06"
"2020-05-03","803279","US","1","0.99"
"2020-04-13","95525","UK","10","3.95"
"2020-04-01","789100","PH","8","0.04"
"2020-04-17","19115","FR","1","0.05"
"2020-04-22","93761","NZ","0","0.21"
"2020-05-02","791156","UA","1","0.65"
"2020-05-12","792410","MX","40","0.82"
"2020-04-20","794235","AL","1","0.01"
"2020-03-20","90464","CZ","7","1.13"
"2020-05-14","160845","RU","2424","540.95"
"2020-05-07","789721","RU","520","83.36"
"2020-03-26","788390","IT","5","0.21"
"2020-04-19","793773","TJ","0","0.02"
"2020-04-04","19115","BE","16","3.4"
"2020-05-17","794235","BW","4","0.03"
"2020-04-12","19115","US","54","103.36"
"2020-05-02","794235","HN","4","0.02"
"2020-03-22","90619","UN","0","0.12"
"2020-03-24","92926","KR","0","0.21"
"2020-05-08","790003","RU","3","0.52"
"2020-05-18","794235","MV","1","0.01"
"2020-04-02","19115","CA","3","2.88"
"2020-05-17","159854","IT","35","4.76"
"2020-04-10","159253","AT","2","0.61"
"2020-04-10","19115","TW","16","12.42"
"2020-05-02","788636","KZ","8","0.84"
"2020-03-25","19115","RU","1752","379.79"
"2020-05-04","794235","LT","2","0.01"
"2020-04-21","90133","BY","99","1.27"
"2020-05-01","159854","FR","41","8.85"
"2020-05-13","794235","UG","1","0.01"
"2020-05-09","794235","SD","3","0.02"
"2020-04-13","19115","PL","57","14.25"
"2020-03-21","90262","CA","9","1.23"
"2020-05-04","94033","PL","51","27.04"
"2020-04-08","788948","MD","103","3.64"
"2020-05-15","794235","IM","1","0.01"
"2020-05-08","22083","UA","28","0.24"
"2020-05-16","22083","NL","3","7.86"
